anchor_id,anchor_label,neighbor_id,neighbor_label,cosine
8754,talk.religion.misc,6552,talk.religion.misc,0.4904053089132177
8754,talk.religion.misc,10613,talk.religion.misc,0.4811837313416502
8754,talk.religion.misc,3616,talk.religion.misc,0.4653481182830762
8754,talk.religion.misc,8726,talk.politics.mideast,0.45989484651925305
8754,talk.religion.misc,3902,talk.religion.misc,0.4590743367107883
4965,comp.sys.mac.hardware,5830,comp.sys.mac.hardware,0.3653278224483413
4965,comp.sys.mac.hardware,9736,comp.sys.mac.hardware,0.3610904963035707
4965,comp.sys.mac.hardware,1822,comp.sys.ibm.pc.hardware,0.35537083840033584
4965,comp.sys.mac.hardware,2327,comp.sys.ibm.pc.hardware,0.34070979637331855
4965,comp.sys.mac.hardware,3408,comp.graphics,0.34052980476096195
7404,comp.os.ms-windows.misc,342,comp.windows.x,0.2682597887203024
7404,comp.os.ms-windows.misc,896,comp.windows.x,0.22977880797744615
7404,comp.os.ms-windows.misc,2429,comp.graphics,0.2248618428525468
7404,comp.os.ms-windows.misc,8719,sci.med,0.2248618428525468
7404,comp.os.ms-windows.misc,7327,comp.windows.x,0.22188791622005133
1009,talk.politics.guns,1322,talk.politics.guns,0.1465181850302509
1009,talk.politics.guns,7162,talk.politics.guns,0.1458228393747739
1009,talk.politics.guns,5084,alt.atheism,0.14413217120644572
1009,talk.politics.guns,9620,talk.politics.guns,0.14348973676719154
1009,talk.politics.guns,2358,talk.politics.guns,0.13924434421436632
4899,sci.crypt,8726,talk.politics.mideast,0.19650786825683675
4899,sci.crypt,5856,sci.crypt,0.19504841115777108
4899,sci.crypt,913,alt.atheism,0.18794282132613044
4899,sci.crypt,10241,sci.crypt,0.1875493305684901
4899,sci.crypt,9115,sci.crypt,0.18753527627423233
